X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.08362525,-0.004285637
0.1686988,-0.008645495
0.2518294,-0.01290578
0.3346361,-0.01714947
0.4155749,-0.02129743
0.4983757,-0.02554082
0.711601,-0.03646821
0.7960602,-0.04079659
0.8790265,-0.04504846
0.9623469,-0.04931847
1.042982,-0.05345085
1.126107,-0.05771089
1.208085,-0.06191209
1.37889,-0.07066554
1.462306,-0.07494044
1.618791,-0.08295998
1.702671,-0.08725867
1.785287,-0.09149263
1.959224,-0.1004065
2.042615,-0.1046802
2.199079,-0.1126987
2.28237,-0.1169672
2.365756,-0.1212405
2.538484,-0.1300925
2.622364,-0.1343912
2.704871,-0.1386195
2.87647,-0.1474137
2.962857,-0.1518409
3.140953,-0.1609679
3.227045,-0.16538
3.308833,-0.1695715
3.457238,-0.177177
3.543635,-0.1816046
3.623625,-0.185704
3.799539,-0.1947192
3.883289,-0.1990113
4.038211,-0.2069507
4.121901,-0.2112397
4.204772,-0.2154867
4.375843,-0.2242537
4.459148,-0.228523
4.544452,-0.2328946
4.71359,-0.2415626
4.799996,-0.2459908
4.956371,-0.2540047
5.042518,-0.2584196
5.123232,-0.262556
5.300414,-0.2716363
5.38375,-0.2759071
5.466706,-0.2801584
5.637792,-0.2889262
5.721392,-0.2932106
5.807374,-0.297617
5.980427,-0.3064857
6.06635,-0.310889
6.14931,-0.3151406
6.293466,-0.3225283
6.376747,-0.3267963
6.558663,-0.3361192
6.644286,-0.3405072
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.725884,-0.3446889
6.604286,-0.3891724
6.526219,-0.417731
6.447976,-0.4463546
6.371361,-0.4743819
6.294367,-0.5025484
6.21694,-0.5308731
6.137959,-0.5597661
6.059964,-0.5882986
5.985007,-0.6157195
5.906435,-0.6444632
5.828806,-0.6728616
5.691745,-0.723002
5.613346,-0.7516823
5.535487,-0.7801648
5.371641,-0.8401035
5.29042,-0.8698161
