X,Y
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.700005,2.099998
7.715611,2.110864
7.741969,2.129216
7.780892,2.156315
7.817665,2.181917
7.860703,2.211882
7.94215,2.268589
8.040724,2.337219
8.090302,2.371738
8.192835,2.443125
8.30938,2.524267
8.374485,2.569596
8.518913,2.670152
8.650776,2.76196
8.798814,2.865029
8.867091,2.912566
8.994702,3.001414
9.12618,3.092953
9.194825,3.140747
9.340259,3.242002
9.471062,3.333073
9.539503,3.380724
9.717435,3.504606
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.816285,3.57343
9.945029,3.377772
9.992352,3.305855
10.03659,3.23862
10.12118,3.110068
10.22073,2.958774
10.31028,2.822684
10.39632,2.691926
10.53896,2.47516
10.62633,2.342372
10.72681,2.189667
10.81436,2.056621
10.95668,1.840334
11.03473,1.721715
11.13269,1.572835
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.22025,1.439772
11.05284,1.365704
10.97206,1.32996
10.89593,1.296278
10.81969,1.262548
10.74364,1.228898
10.58831,1.160171
10.4215,1.086367
10.29383,1.029881
10.12992,0.9573609
9.983774,0.8926978
9.907218,0.8588257
9.746679,0.7877958
9.580105,0.7140956
9.501112,0.6791453
9.362786,0.6179437
9.216848,0.5533736
9.0701,0.4884455
8.90322,0.4146098
8.82653,0.3806789
8.666399,0.3098291
8.520675,0.2453541
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.444407,0.2116095
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.455268,0.505658
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.28821,0.6325662
8.299603,0.7006907
8.304383,0.7292714
8.308778,0.7555497
8.321092,0.8291821
8.35361,1.023618
8.386938,1.222904
8.441508,1.549202
8.481128,1.786102
8.537998,2.126154
8.599902,2.496303
8.632946,2.693884
8.689182,3.030149
8.731686,3.28429
8.838222,3.921317
8.854085,4.01617
8.883882,4.194335
8.936412,4.508433
8.979953,4.768782
9.035591,5.101472
9.210485,6.147228
9.224256,6.229574
